id,user_login,user_name,license,image_url,latitude,longitude,scientific_name,common_name,taxon_id,taxon_family_name
6764744,johnpcarp,"",CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/8596246/medium.jpg,35.4551333282,-76.390288733,Kosteletzkya pentacarpos,Saltmarsh mallow,131656,Malvaceae
7237606,earthstephen,Stephen,CC-BY-NC-SA,https://inaturalist-open-data.s3.amazonaws.com/photos/9347432/medium.jpg,35.1157305,-75.9850083333,Sabatia stellaris,marsh pink,126339,Gentianaceae
7742812,stephschuttler,"",,https://static.inaturalist.org/photos/10163353/medium.jpg,35.5693666667,-76.26027,Passiflora incarnata,purple passionflower,51453,Passifloraceae
8232851,peetje,,,https://static.inaturalist.org/photos/10916879/medium.jpg,35.6845609301,-76.5980169433,Callicarpa americana,American beautyberry,49193,Lamiaceae
9381804,airalcorn2,Michael A. Alcorn,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/12743443/medium.jpg,35.1466666667,-75.8708333333,Iva imbricata,Dune Marsh-elder,130217,Asteraceae
9381805,airalcorn2,Michael A. Alcorn,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/12743446/medium.jpg,35.1466666667,-75.8708333333,Croton punctatus,Beach Croton,127254,Euphorbiaceae
9381806,airalcorn2,Michael A. Alcorn,CC-BY,https://inaturalist-open-data.s3.amazonaws.com/photos/12743448/medium.jpg,35.1466666667,-75.8708333333,Strophostyles helvola,trailing fuzzy-bean,204420,Fabaceae
10470907,annafuller,,,https://static.inaturalist.org/photos/14554534/medium.jpg,35.1256220229,-75.9236510006,Morella cerifera,wax myrtle,119956,Myricaceae
10470914,gpaul,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/14554548/medium.jpeg,35.12562789,-75.92348999,Morella cerifera,wax myrtle,119956,Myricaceae
10470920,annafuller,,,https://static.inaturalist.org/photos/14554565/medium.jpg,35.1256268844,-75.9233857133,Ilex vomitoria,Yaupon Holly,119955,Aquifoliaceae
10470924,lstaats,,,https://static.inaturalist.org/photos/14554575/medium.jpg,35.1255468373,-75.9236634896,Morella cerifera,wax myrtle,119956,Myricaceae
10470926,gpaul,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/14554579/medium.jpeg,35.12570969,-75.92341164,Cirsium horridulum,bristle thistle,127269,Asteraceae
10470952,annafuller,,,https://static.inaturalist.org/photos/14554608/medium.jpg,35.125875366,-75.923268702,Lonicera japonica,Japanese honeysuckle,77835,Caprifoliaceae
10470965,atufts,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/14554635/medium.jpeg,35.12574935,-75.92338281,Ilex vomitoria,Yaupon Holly,119955,Aquifoliaceae
10471213,lemily,"",,https://static.inaturalist.org/photos/14555035/medium.jpg,35.1255688398,-75.923762899,Sabal minor,Dwarf Palmetto,81804,Arecaceae
10471233,lemily,"",,https://static.inaturalist.org/photos/14555078/medium.jpg,35.186514725,-75.9305951544,Smilax bona-nox,saw greenbrier,125677,Smilacaceae
10471437,gpaul,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/14555435/medium.jpeg,35.12801493,-75.92307122,Toxicodendron radicans,eastern poison ivy,58732,Anacardiaceae
10471539,kellyann2,Kelly Ann Fink,,https://static.inaturalist.org/photos/14555575/medium.jpeg,35.1277770996,-75.9225006104,Toxicodendron radicans,eastern poison ivy,58732,Anacardiaceae
10471549,vchapman,,,https://static.inaturalist.org/photos/14555582/medium.jpg,35.1291001356,-75.9230376129,Sabal minor,Dwarf Palmetto,81804,Arecaceae
10471595,atufts,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/14555660/medium.jpeg,35.1277964015,-75.9237754717,Plantago virginica,dwarf plantain,78622,Plantaginaceae
10471799,melissahege,Melissa Hege,,https://static.inaturalist.org/photos/14555978/medium.jpg,35.1254851045,-75.9239975084,Opuntia drummondii,Creeping Cactus,596540,Cactaceae
10471882,jjordan813,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/14556288/medium.jpeg,35.1278152466,-75.9218139648,Sabal minor,Dwarf Palmetto,81804,Arecaceae
10471894,kellyann2,Kelly Ann Fink,,https://static.inaturalist.org/photos/14556126/medium.jpeg,35.1255569458,-75.9233322144,Hydrocotyle bonariensis,largeleaf pennywort,163871,Araliaceae
10471907,melissahege,Melissa Hege,,https://static.inaturalist.org/photos/14556156/medium.jpg,35.1291661011,-75.9216257651,Smilax bona-nox,saw greenbrier,125677,Smilacaceae
10472786,stingrays7,,,https://static.inaturalist.org/photos/14557400/medium.jpeg,35.1296166667,-75.9227361111,Morella cerifera,wax myrtle,119956,Myricaceae
10494517,carsonjene,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/14595006/medium.jpeg,35.1384738107,-75.8956555277,Morella cerifera,wax myrtle,119956,Myricaceae
10500506,chrisgoforth,Chris Goforth,CC-BY-NC-ND,https://static.inaturalist.org/photos/14605584/medium.jpg,35.1036958612,-75.98666475,Opuntia humifusa,low pricklypear,47894,Cactaceae
10815073,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/15147541/medium.jpeg,35.422978,-76.35808,Gelsemium sempervirens,yellow jessamine,83070,Gelsemiaceae
10817630,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/15152476/medium.jpeg,35.4387970731,-76.3726042584,Lyonia lucida,fetterbush lyonia,129433,Ericaceae
11034876,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/15566800/medium.jpeg,35.441061,-76.374502,Lonicera sempervirens,coral honeysuckle,119809,Caprifoliaceae
11123922,aidon,,,https://static.inaturalist.org/photos/15729243/medium.jpg,35.1058289109,-75.9717938132,Toxicodendron radicans,eastern poison ivy,58732,Anacardiaceae
11173110,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/15824426/medium.jpeg,35.4590707377,-76.2001097202,Salvia lyrata,lyreleaf sage,64093,Lamiaceae
11173111,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/15824622/medium.jpeg,35.452734742,-76.1851644516,Plantago lanceolata,ribwort plantain,53178,Plantaginaceae
11174027,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/15826660/medium.jpeg,35.4591493883,-76.2001633644,Nothoscordum bivalve,crowpoison,125462,Amaryllidaceae
11215032,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/15908146/medium.jpeg,35.4523124695,-76.2313461304,Packera tomentosa,woolly ragwort,166053,Asteraceae
11269590,zcarroll,,,https://static.inaturalist.org/photos/16019103/medium.jpg,35.462825,-76.17543,Vicia sativa,Common Vetch,53324,Fabaceae
12042052,wtryan,,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/17263033/medium.jpg,35.6662502521,-76.5825537871,Packera tomentosa,woolly ragwort,166053,Asteraceae
12132295,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/17408572/medium.jpeg,35.4374542236,-76.3713150024,Quercus nigra,water oak,53640,Fagaceae
12132494,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/17408936/medium.jpeg,35.437475,-76.371386,Liquidambar styraciflua,American sweetgum,49658,Altingiaceae
12225334,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/17568770/medium.jpeg,35.4526634216,-76.1757583618,Ligustrum sinense,Chinese privet,128769,Oleaceae
12327930,peetje,,,https://static.inaturalist.org/photos/17745437/medium.jpg,35.6808133978,-76.5457419778,Packera tomentosa,woolly ragwort,166053,Asteraceae
12328037,peetje,,,https://static.inaturalist.org/photos/17745713/medium.jpg,35.6928466884,-76.5419868269,Cirsium horridulum,bristle thistle,127269,Asteraceae
12694488,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/18378501/medium.jpeg,35.0960540771,-75.9829330444,Lotus corniculatus,bird's-foot trefoil,47435,Fabaceae
12715265,docentdiane,,,https://static.inaturalist.org/photos/18412962/medium.jpg,35.1165615209,-75.9849663825,Sisyrinchium rosulatum,Annual Blue-eyed Grass,169028,Iridaceae
12716962,docentdiane,,,https://static.inaturalist.org/photos/18416043/medium.jpg,35.1044759481,-75.9889719263,Lonicera sempervirens,coral honeysuckle,119809,Caprifoliaceae
12797288,cjfarmer,Catherine,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/18554731/medium.jpeg,35.1135025024,-75.9728622437,Morella cerifera,wax myrtle,119956,Myricaceae
12798986,cjfarmer,Catherine,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/18557454/medium.jpeg,35.11384412,-75.9721299,Alternanthera philoxeroides,Alligatorweed,75386,Amaranthaceae
12875033,cjfarmer,Catherine,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/18689404/medium.jpeg,35.1888923645,-75.7797317505,Gaillardia pulchella,Indian blanket,51768,Asteraceae
12981061,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/18876934/medium.jpeg,35.443157196,-76.3764877319,Asclepias lanceolata,fewflower milkweed,158744,Apocynaceae
12981097,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/18876999/medium.jpeg,35.433143219,-76.2904579355,Spiranthes praecox,Grass-leaved Ladies' Tresses,128771,Orchidaceae
13072858,allen_boynton,Allen Boynton,CC-BY-NC-ND,https://inaturalist-open-data.s3.amazonaws.com/photos/19040191/medium.jpeg,35.4530652092,-76.1759889498,Saururus cernuus,lizard's tail,60742,Saururaceae
13201014,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/19300215/medium.jpeg,35.4524116516,-76.1795425415,Vitis rotundifolia,muscadine,82529,Vitaceae
13215365,jessdabess,Jessica Majors,,https://static.inaturalist.org/photos/19324583/medium.jpg,35.4506416667,-76.174705,Albizia julibrissin,Persian silk tree,47443,Fabaceae
13313500,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/19500134/medium.jpeg,35.1107139587,-75.9715423584,Juncus megacephalus,bighead rush,164273,Juncaceae
13318203,swampster,D. Tilson,CC-BY-NC,https://inaturalist-open-data.s3.amazonaws.com/photos/19508305/medium.jpeg,35.105922699,-75.9702758789,Sesbania punicea,Scarlet Sesbane,79065,Fabaceae
13330967,jessdabess,Jessica Majors,,https://static.inaturalist.org/photos/19532093/medium.jpg,35.1756466667,-75.800675,Ipomoea sagittata,Saltmarsh Morning-glory,131555,Convolvulaceae
13683816,wildlymistaken,"",CC0,https://inaturalist-open-data.s3.amazonaws.com/photos/20153853/medium.jpeg,35.0272575263,-75.9360832552,Spiranthes vernalis,Spring Ladies' Tresses,121436,Orchidaceae
